llc_coords_index,counts,latitude,longitude,ssha_karin_2_mean,ssha_karin_2_std
32097,1242,-58.836018,109.5,-0.13842376975336723,0.02113710704005236
32185,678,-58.321964,107.5,0.1679061291296676,0.026421154983950923
32186,1690,-58.321964,108.5,0.07670495932311296,0.058565976851625796
32187,1688,-58.321964,109.5,-0.10939470276823608,0.04595668996598138
32188,240,-58.321964,110.5,-0.20425960988404768,0.02752448065125187
32275,78,-57.79962,107.5,0.15133061608388645,0.022932215435103084
32276,1636,-57.79962,108.5,0.11369201452980528,0.05280778458043
32277,1742,-57.79962,109.5,-0.09659823849827602,0.055986133138764445
32278,886,-57.79962,110.5,-0.16984414850912116,0.045724257431423394
32366,1032,-57.271408,108.5,0.14038910541406016,0.03747587595573488
32367,1782,-57.271408,109.5,0.021035005563781545,0.06355449533114609
32368,1554,-57.271408,110.5,-0.06669711314913591,0.0343639686508655
32369,8,-57.271408,111.5,-0.050536853218200284,0.0
32456,328,-56.73891,108.5,0.1490080346902056,0.026333501788164508
32457,1822,-56.73891,109.5,0.06672979452995836,0.04588473332314615
32458,1826,-56.73891,110.5,-0.09916227820043057,0.0470455557287143
32459,420,-56.73891,111.5,-0.16998879631400032,0.038656325344182785
32547,1486,-56.2021,109.5,0.09261156752326839,0.043243159139806225
32548,1862,-56.2021,110.5,-0.05947646899154057,0.06117045568832731
32549,1080,-56.2021,111.5,-0.22992049810608112,0.04397849816962875
32637,800,-55.65936,109.5,0.1260611056761178,0.024713493820387903
32638,1920,-55.65936,110.5,0.009191186156240271,0.05634802712623741
32639,1736,-55.65936,111.5,-0.1768297749535142,0.05169819077543673
32640,20,-55.65936,112.5,-0.14154396624852847,0.008073017872513688
32727,144,-55.107994,109.5,0.13100011164801686,0.018442929395187945
32728,1922,-55.107994,110.5,0.09376891815121374,0.06281463060737595
32729,1974,-55.107994,111.5,-0.09618347154221457,0.051474797678935855
32730,490,-55.107994,112.5,-0.18035202387313043,0.025364348437018597
32818,1396,-54.5479,110.5,0.1726731822997656,0.03285047534373361
32819,2030,-54.5479,111.5,-0.003713954723926029,0.08471297147747905
32820,1178,-54.5479,112.5,-0.15466436830171404,0.03465589028521322
32908,684,-53.97901,110.5,0.2085099368517817,0.02546405076113498
32909,2094,-53.97901,111.5,0.068618154053119,0.07383090143442265
32910,1874,-53.97901,112.5,-0.1315083502337145,0.04221189369055009
32911,10,-53.97901,113.5,,
32998,68,-53.401268,110.5,0.14845547826425143,0.029357257351607983
32999,2042,-53.401268,111.5,0.07829686042547612,0.05468981446057875
33000,2144,-53.401268,112.5,-0.07783580231780034,0.06857488067776717
33001,462,-53.401268,113.5,-0.161908567368395,0.03508499440011393
33089,1402,-52.814613,111.5,0.07513889520185091,0.03012676781564984
33090,2220,-52.814613,112.5,0.04450259917264313,0.025268528396470917
33091,1162,-52.814613,113.5,-0.07998476971863736,0.04738161492252771
33179,674,-52.218994,111.5,0.07225267461099236,0.03324755048870409
33180,2286,-52.218994,112.5,0.027396352167114016,0.04699486809464406
33181,1892,-52.218994,113.5,-0.13255351830702242,0.06544698580938668
33269,54,-51.614365,111.5,0.16237511993130435,0.017708156682068314
33270,2200,-51.614365,112.5,0.03850914830532685,0.07647293264195873
33271,2348,-51.614365,113.5,-0.17379434879832542,0.04920536875447209
33272,306,-51.614365,114.5,-0.23531719669555443,0.022321328178786397
33360,1538,-51.00068,112.5,-0.009484672925347685,0.033570016034853614
33361,2410,-51.00068,113.5,-0.132562651162702,0.04919666633341933
33362,1024,-51.00068,114.5,-0.23620603567877937,0.031249995489192578
33450,784,-50.37789,112.5,0.0019455033074369389,0.01794224140874542
33451,2486,-50.37789,113.5,-0.07090777914789206,0.04549962124857525
33452,1768,-50.37789,114.5,-0.229454070847682,0.05175783157810894
33540,102,-49.745964,112.5,0.029093511456592457,0.0125566656139072
33541,2452,-49.745964,113.5,0.052091310668378236,0.07092070469397783
33542,2460,-49.745964,114.5,-0.14148614774710067,0.10737937812242872
33543,88,-49.745964,115.5,-0.18931749702954848,0.024233716916162863
33631,1818,-49.104866,113.5,0.21195194031459588,0.036590734433764066
33632,2624,-49.104866,114.5,0.0392198546983757,0.07728035097711056
33633,726,-49.104866,115.5,-0.11945492846202982,0.027394480297303632
33721,1052,-48.454567,113.5,0.17398134846344773,0.040229381609735285
33722,2696,-48.454567,114.5,0.052522253532913,0.0744543092786983
33723,1490,-48.454567,115.5,-0.16375919905909164,0.0501324461799949
33811,268,-47.795048,113.5,0.028475035631533474,0.049553040032281934
33812,2752,-47.795048,114.5,-0.09017458201039055,0.062491638015245314
33813,2274,-47.795048,115.5,-0.2487994143957846,0.05850222644197224
33902,2272,-47.12628,114.5,-0.08645603231012408,0.08814583148532312
33903,2832,-47.12628,115.5,-0.24337135208618538,0.06819752205523139
33904,264,-47.12628,116.5,-0.3762447554316181,0.019812473400780774
33992,1492,-46.448257,114.5,0.15351561009985124,0.07434980465186655
33993,2914,-46.448257,115.5,-0.09634117281598702,0.11227692734325911
33994,1022,-46.448257,116.5,-0.31359078664967355,0.046888624857672305
34082,690,-45.760967,114.5,0.20534656509743168,0.03191542406447268
34083,2990,-45.760967,115.5,-0.020473755229771184,0.10510902806857661
34084,1816,-45.760967,116.5,-0.20894544527788422,0.04228310070493957
34172,44,-45.06441,114.5,0.14574061523560103,0.016491370954224375
34173,2882,-45.06441,115.5,-0.015604713469588374,0.07775668541550337
34174,2638,-45.06441,116.5,-0.12083552232190499,0.04001777962802883
34263,2144,-44.358585,115.5,0.10185126210792268,0.05075833510929496
34264,3146,-44.358585,116.5,-0.0355724539205485,0.062208679579606505
34265,344,-44.358585,117.5,-0.11440449168300748,0.0270974216058636
34353,1332,-43.643505,115.5,0.13851542659922325,0.0165661934579878
34354,3224,-43.643505,116.5,0.022732774113251097,0.05549265119923736
34355,1138,-43.643505,117.5,-0.07690798102568956,0.02021057652250927
34443,500,-42.919178,115.5,0.1449590696898763,0.018445077377102586
34444,3302,-42.919178,116.5,0.05125712890324192,0.05053907001454081
34445,1958,-42.919178,117.5,-0.0798524801334251,0.029246291707020363
34533,2,-42.18563,115.5,,
34534,3028,-42.18563,116.5,0.027592370936580374,0.07649347062034756
34535,2802,-42.18563,117.5,-0.1182202150911773,0.029759896509409946
34624,2212,-41.44289,116.5,0.09677085607328842,0.05154990844567234
34625,3444,-41.44289,117.5,-0.050863687287248056,0.06064597453646673
34626,232,-41.44289,118.5,-0.1262957408227044,0.017833196712865203
34714,1382,-40.690994,116.5,0.19581957527153154,0.024654227932186624
34715,3552,-40.690994,117.5,0.07922644768344997,0.07277034596525002
34716,1024,-40.690994,118.5,-0.05554186317520099,0.03781572095823329
34804,526,-39.92998,116.5,0.19313786934967445,0.027214662835231513
34805,3634,-39.92998,117.5,0.09237043336317877,0.058674379688888306
34806,1864,-39.92998,118.5,-0.07745465418823796,0.04282810127338747
34894,4,-39.159897,116.5,,
34895,3358,-39.159897,117.5,0.07018511376088558,0.03986610580003416
34896,2726,-39.159897,118.5,-0.04098304364219952,0.04381190857408507
34985,2540,-38.380806,117.5,0.0749229923655502,0.025569495383378122
34986,3584,-38.380806,118.5,-0.0003695219226686559,0.036503348271432944
